Identifier,project_url,general_description,objectives,beneficiaries,status,notes
P-Z1-AAG-049,https://mapafrica.afdb.org/project/P-Z1-AAG-049,,,,not_found,failed to fetch page
P-Z1-AAG-058,https://mapafrica.afdb.org/project/P-Z1-AAG-058,,,,not_found,failed to fetch page
P-AO-A00-001,https://mapafrica.afdb.org/project/P-AO-A00-001,,,,not_found,failed to fetch page
P-MW-AA0-029,https://mapafrica.afdb.org/project/P-MW-AA0-029,,,,not_found,failed to fetch page
P-ML-AAE-004,https://mapafrica.afdb.org/project/P-ML-AAE-004,,,,not_found,failed to fetch page
P-RW-AZ0-001,https://mapafrica.afdb.org/project/P-RW-AZ0-001,,,,not_found,failed to fetch page
P-CF-AB0-002,https://mapafrica.afdb.org/project/P-CF-AB0-002,,,,not_found,failed to fetch page
P-EG-AAC-015,https://mapafrica.afdb.org/project/P-EG-AAC-015,,,,not_found,failed to fetch page
P-MZ-AA0-026,https://mapafrica.afdb.org/project/P-MZ-AA0-026,,,,not_found,failed to fetch page
P-ST-AA0-004,https://mapafrica.afdb.org/project/P-ST-AA0-004,,,,not_found,failed to fetch page
P-SZ-A00-003,https://mapafrica.afdb.org/project/P-SZ-A00-003,,,,not_found,failed to fetch page
P-CI-AAE-004,https://mapafrica.afdb.org/project/P-CI-AAE-004,,,,not_found,failed to fetch page
P-NG-A00-007,https://mapafrica.afdb.org/project/P-NG-A00-007,,,,not_found,failed to fetch page
P-TN-A00-007,https://mapafrica.afdb.org/project/P-TN-A00-007,,,,not_found,failed to fetch page
P-EG-AAC-014,https://mapafrica.afdb.org/project/P-EG-AAC-014,,,,not_found,failed to fetch page
P-MW-AAA-004,https://mapafrica.afdb.org/project/P-MW-AAA-004,,,,not_found,failed to fetch page
P-LS-A00-001,https://mapafrica.afdb.org/project/P-LS-A00-001,,,,not_found,failed to fetch page
P-AO-AAZ-002,https://mapafrica.afdb.org/project/P-AO-AAZ-002,,,,not_found,failed to fetch page
P-LR-A00-001,https://mapafrica.afdb.org/project/P-LR-A00-001,,,,not_found,failed to fetch page
P-UG-AB0-002,https://mapafrica.afdb.org/project/P-UG-AB0-002,,,,not_found,failed to fetch page
P-NE-A00-007,https://mapafrica.afdb.org/project/P-NE-A00-007,,,,not_found,failed to fetch page
P-MA-A00-003,https://mapafrica.afdb.org/project/P-MA-A00-003,,,,not_found,failed to fetch page
P-MA-AAC-014,https://mapafrica.afdb.org/project/P-MA-AAC-014,,,,not_found,failed to fetch page
P-TN-AAC-009,https://mapafrica.afdb.org/project/P-TN-AAC-009,,,,not_found,failed to fetch page
P-NE-AA0-017,https://mapafrica.afdb.org/project/P-NE-AA0-017,,,,not_found,failed to fetch page
P-MW-A00-006,https://mapafrica.afdb.org/project/P-MW-A00-006,,,,not_found,failed to fetch page
P-MZ-AA0-032,https://mapafrica.afdb.org/project/P-MZ-AA0-032,,,,not_found,failed to fetch page
P-CV-AAZ-001,https://mapafrica.afdb.org/project/P-CV-AAZ-001,,,,not_found,failed to fetch page
P-EG-AZ0-005,https://mapafrica.afdb.org/project/P-EG-AZ0-005,,,,not_found,failed to fetch page
G-EG-AAG-ZZZ-001,https://mapafrica.afdb.org/project/G-EG-AAG-ZZZ-001,,,,not_found,failed to fetch page
P-Z1-AAZ-010,https://mapafrica.afdb.org/project/P-Z1-AAZ-010,,,,not_found,failed to fetch page
P-RW-AAE-004,https://mapafrica.afdb.org/project/P-RW-AAE-004,,,,not_found,failed to fetch page
P-Z1-AB0-002,https://mapafrica.afdb.org/project/P-Z1-AB0-002,,,,not_found,failed to fetch page
P-GH-AA0-030,https://mapafrica.afdb.org/project/P-GH-AA0-030,,,,not_found,failed to fetch page
P-Z1-AB0-005,https://mapafrica.afdb.org/project/P-Z1-AB0-005,,,,not_found,failed to fetch page
P-MW-AAC-008,https://mapafrica.afdb.org/project/P-MW-AAC-008,,,,not_found,failed to fetch page
P-GA-AAD-005,https://mapafrica.afdb.org/project/P-GA-AAD-005,,,,not_found,failed to fetch page
P-CD-A00-005,https://mapafrica.afdb.org/project/P-CD-A00-005,,,,not_found,failed to fetch page
P-BF-A00-007,https://mapafrica.afdb.org/project/P-BF-A00-007,,,,not_found,failed to fetch page
P-TG-AA0-008,https://mapafrica.afdb.org/project/P-TG-AA0-008,,,,not_found,failed to fetch page
P-TZ-AA0-019,https://mapafrica.afdb.org/project/P-TZ-AA0-019,,,,not_found,failed to fetch page
P-BJ-AB0-005,https://mapafrica.afdb.org/project/P-BJ-AB0-005,,,,not_found,failed to fetch page
P-KE-AA0-019,https://mapafrica.afdb.org/project/P-KE-AA0-019,,,,not_found,failed to fetch page
P-MZ-AA0-030,https://mapafrica.afdb.org/project/P-MZ-AA0-030,,,,not_found,failed to fetch page
P-Z1-AAE-004,https://mapafrica.afdb.org/project/P-Z1-AAE-004,,,,not_found,failed to fetch page
P-GW-AA0-012,https://mapafrica.afdb.org/project/P-GW-AA0-012,,,,not_found,failed to fetch page
P-CD-AAG-001,https://mapafrica.afdb.org/project/P-CD-AAG-001,,,,not_found,failed to fetch page
P-MG-AA0-040,https://mapafrica.afdb.org/project/P-MG-AA0-040,,,,not_found,failed to fetch page
P-SN-AA0-011,https://mapafrica.afdb.org/project/P-SN-AA0-011,,,,not_found,failed to fetch page
P-MW-AA0-028,https://mapafrica.afdb.org/project/P-MW-AA0-028,,,,not_found,failed to fetch page
P-Z1-AA0-112,https://mapafrica.afdb.org/project/P-Z1-AA0-112,,,,not_found,failed to fetch page
P-Z1-AAG-043,https://mapafrica.afdb.org/project/P-Z1-AAG-043,,,,not_found,failed to fetch page
P-BF-AAD-004,https://mapafrica.afdb.org/project/P-BF-AAD-004,,,,not_found,failed to fetch page
P-UG-AB0-003,https://mapafrica.afdb.org/project/P-UG-AB0-003,,,,not_found,failed to fetch page
P-ST-AAE-003,https://mapafrica.afdb.org/project/P-ST-AAE-003,,,,not_found,failed to fetch page
P-ZW-AAF-001,https://mapafrica.afdb.org/project/P-ZW-AAF-001,,,,not_found,failed to fetch page
P-MG-AA0-029,https://mapafrica.afdb.org/project/P-MG-AA0-029,,,,not_found,failed to fetch page
P-MZ-AAC-005,https://mapafrica.afdb.org/project/P-MZ-AAC-005,,,,not_found,failed to fetch page
P-MZ-AAC-002,https://mapafrica.afdb.org/project/P-MZ-AAC-002,,,,not_found,failed to fetch page
P-SN-AAG-001,https://mapafrica.afdb.org/project/P-SN-AAG-001,,,,not_found,failed to fetch page
P-SN-A00-008,https://mapafrica.afdb.org/project/P-SN-A00-008,,,,not_found,failed to fetch page
P-SN-A00-004,https://mapafrica.afdb.org/project/P-SN-A00-004,,,,not_found,failed to fetch page
P-GN-AA0-018,https://mapafrica.afdb.org/project/P-GN-AA0-018,,,,not_found,failed to fetch page
P-ZM-AA0-025,https://mapafrica.afdb.org/project/P-ZM-AA0-025,,,,not_found,failed to fetch page
P-TD-AB0-002,https://mapafrica.afdb.org/project/P-TD-AB0-002,,,,not_found,failed to fetch page
P-TG-A00-005,https://mapafrica.afdb.org/project/P-TG-A00-005,,,,not_found,failed to fetch page
P-MA-AA0-003,https://mapafrica.afdb.org/project/P-MA-AA0-003,,,,not_found,failed to fetch page
P-BF-AAG-001,https://mapafrica.afdb.org/project/P-BF-AAG-001,,,,not_found,failed to fetch page
P-MR-AAC-009,https://mapafrica.afdb.org/project/P-MR-AAC-009,,,,not_found,failed to fetch page
P-DZ-AA0-002,https://mapafrica.afdb.org/project/P-DZ-AA0-002,,,,not_found,failed to fetch page
P-ML-AA0-019,https://mapafrica.afdb.org/project/P-ML-AA0-019,,,,not_found,failed to fetch page
P-Z1-AAZ-048,https://mapafrica.afdb.org/project/P-Z1-AAZ-048,,,,not_found,failed to fetch page
P-Z1-AAG-012,https://mapafrica.afdb.org/project/P-Z1-AAG-012,,,,not_found,failed to fetch page
P-ZM-AA0-026,https://mapafrica.afdb.org/project/P-ZM-AA0-026,,,,not_found,failed to fetch page
P-Z1-AAG-003,https://mapafrica.afdb.org/project/P-Z1-AAG-003,,,,not_found,failed to fetch page
P-MZ-AAC-006,https://mapafrica.afdb.org/project/P-MZ-AAC-006,,,,not_found,failed to fetch page
P-CD-AB0-001,https://mapafrica.afdb.org/project/P-CD-AB0-001,,,,not_found,failed to fetch page
P-TN-AB0-002,https://mapafrica.afdb.org/project/P-TN-AB0-002,,,,not_found,failed to fetch page
P-CI-AAA-005,https://mapafrica.afdb.org/project/P-CI-AAA-005,,,,not_found,failed to fetch page
G-Z1-A00-STY-008,https://mapafrica.afdb.org/project/G-Z1-A00-STY-008,,,,not_found,failed to fetch page
P-BF-AAD-003,https://mapafrica.afdb.org/project/P-BF-AAD-003,,,,not_found,failed to fetch page
P-CI-AA0-019,https://mapafrica.afdb.org/project/P-CI-AA0-019,,,,not_found,failed to fetch page
P-Z1-AAZ-051,https://mapafrica.afdb.org/project/P-Z1-AAZ-051,,,,not_found,failed to fetch page
P-GA-A00-005,https://mapafrica.afdb.org/project/P-GA-A00-005,,,,not_found,failed to fetch page
P-GA-A00-004,https://mapafrica.afdb.org/project/P-GA-A00-004,,,,not_found,failed to fetch page
P-ZM-AAC-007,https://mapafrica.afdb.org/project/P-ZM-AAC-007,,,,not_found,failed to fetch page
P-GN-A00-005,https://mapafrica.afdb.org/project/P-GN-A00-005,,,,not_found,failed to fetch page
P-BF-A00-013,https://mapafrica.afdb.org/project/P-BF-A00-013,,,,not_found,failed to fetch page
P-Z1-AA0-121,https://mapafrica.afdb.org/project/P-Z1-AA0-121,,,,not_found,failed to fetch page
P-NG-A00-011,https://mapafrica.afdb.org/project/P-NG-A00-011,,,,not_found,failed to fetch page
P-ML-AA0-022,https://mapafrica.afdb.org/project/P-ML-AA0-022,,,,not_found,failed to fetch page
P-Z1-AAZ-012,https://mapafrica.afdb.org/project/P-Z1-AAZ-012,,,,not_found,failed to fetch page
P-GM-A00-005,https://mapafrica.afdb.org/project/P-GM-A00-005,,,,not_found,failed to fetch page
P-GH-AAD-002,https://mapafrica.afdb.org/project/P-GH-AAD-002,,,,not_found,failed to fetch page
P-CI-AA0-024,https://mapafrica.afdb.org/project/P-CI-AA0-024,,,,not_found,failed to fetch page
P-NA-AA0-010,https://mapafrica.afdb.org/project/P-NA-AA0-010,,,,not_found,failed to fetch page
P-Z1-AAF-011,https://mapafrica.afdb.org/project/P-Z1-AAF-011,,,,not_found,failed to fetch page
P-CM-AB0-004,https://mapafrica.afdb.org/project/P-CM-AB0-004,,,,not_found,failed to fetch page
P-GM-AA0-013,https://mapafrica.afdb.org/project/P-GM-AA0-013,,,,not_found,failed to fetch page
P-NE-A00-004,https://mapafrica.afdb.org/project/P-NE-A00-004,,,,not_found,failed to fetch page
P-MR-AAZ-006,https://mapafrica.afdb.org/project/P-MR-AAZ-006,,,,not_found,failed to fetch page
P-Z1-AA0-120,https://mapafrica.afdb.org/project/P-Z1-AA0-120,,,,not_found,failed to fetch page
P-MG-AAB-004,https://mapafrica.afdb.org/project/P-MG-AAB-004,,,,not_found,failed to fetch page
P-MW-AA0-026,https://mapafrica.afdb.org/project/P-MW-AA0-026,,,,not_found,failed to fetch page
P-MG-AA0-042,https://mapafrica.afdb.org/project/P-MG-AA0-042,,,,not_found,failed to fetch page
P-MG-A00-006,https://mapafrica.afdb.org/project/P-MG-A00-006,,,,not_found,failed to fetch page
P-ML-AAG-003,https://mapafrica.afdb.org/project/P-ML-AAG-003,,,,not_found,failed to fetch page
P-GM-AA0-014,https://mapafrica.afdb.org/project/P-GM-AA0-014,,,,not_found,failed to fetch page
P-NE-A00-011,https://mapafrica.afdb.org/project/P-NE-A00-011,,,,not_found,failed to fetch page
P-Z1-AA0-138,https://mapafrica.afdb.org/project/P-Z1-AA0-138,,,,not_found,failed to fetch page
P-Z1-A00-030,https://mapafrica.afdb.org/project/P-Z1-A00-030,,,,not_found,failed to fetch page
G-Z1-AA0-SUP-001,https://mapafrica.afdb.org/project/G-Z1-AA0-SUP-001,,,,not_found,failed to fetch page
P-AO-AA0-010,https://mapafrica.afdb.org/project/P-AO-AA0-010,,,,not_found,failed to fetch page
P-CV-AAF-009,https://mapafrica.afdb.org/project/P-CV-AAF-009,,,,not_found,failed to fetch page
P-CD-AA0-009,https://mapafrica.afdb.org/project/P-CD-AA0-009,,,,not_found,failed to fetch page
P-Z1-AAG-047,https://mapafrica.afdb.org/project/P-Z1-AAG-047,,,,not_found,failed to fetch page
P-Z1-AAG-025,https://mapafrica.afdb.org/project/P-Z1-AAG-025,,,,not_found,failed to fetch page
P-CI-AA0-027,https://mapafrica.afdb.org/project/P-CI-AA0-027,,,,not_found,failed to fetch page
P-Z1-AAZ-022,https://mapafrica.afdb.org/project/P-Z1-AAZ-022,,,,not_found,failed to fetch page
P-ZM-AAE-001,https://mapafrica.afdb.org/project/P-ZM-AAE-001,,,,not_found,failed to fetch page
P-SL-AAG-002,https://mapafrica.afdb.org/project/P-SL-AAG-002,,,,not_found,failed to fetch page
P-Z1-A00-016,https://mapafrica.afdb.org/project/P-Z1-A00-016,,,,not_found,failed to fetch page
P-EG-AAC-017,https://mapafrica.afdb.org/project/P-EG-AAC-017,,,,not_found,failed to fetch page
P-CF-AA0-011,https://mapafrica.afdb.org/project/P-CF-AA0-011,,,,not_found,failed to fetch page
P-Z1-AAZ-050,https://mapafrica.afdb.org/project/P-Z1-AAZ-050,,,,not_found,failed to fetch page
P-DJ-AA0-007,https://mapafrica.afdb.org/project/P-DJ-AA0-007,,,,not_found,failed to fetch page
P-ZW-AAG-001,https://mapafrica.afdb.org/project/P-ZW-AAG-001,,,,not_found,failed to fetch page
P-Z1-AAF-010,https://mapafrica.afdb.org/project/P-Z1-AAF-010,,,,not_found,failed to fetch page
P-Z1-AAZ-018,https://mapafrica.afdb.org/project/P-Z1-AAZ-018,,,,not_found,failed to fetch page
P-GH-A00-015,https://mapafrica.afdb.org/project/P-GH-A00-015,,,,not_found,failed to fetch page
P-Z1-AAZ-024,https://mapafrica.afdb.org/project/P-Z1-AAZ-024,,,,not_found,failed to fetch page
P-Z1-AAG-014,https://mapafrica.afdb.org/project/P-Z1-AAG-014,,,,not_found,failed to fetch page
P-LR-A00-003,https://mapafrica.afdb.org/project/P-LR-A00-003,,,,not_found,failed to fetch page
P-NG-AAG-007,https://mapafrica.afdb.org/project/P-NG-AAG-007,,,,not_found,failed to fetch page
P-TN-A00-008,https://mapafrica.afdb.org/project/P-TN-A00-008,,,,not_found,failed to fetch page
P-Z1-AAZ-020,https://mapafrica.afdb.org/project/P-Z1-AAZ-020,,,,not_found,failed to fetch page
P-BW-AAC-001,https://mapafrica.afdb.org/project/P-BW-AAC-001,,,,not_found,failed to fetch page
P-CI-AAA-004,https://mapafrica.afdb.org/project/P-CI-AAA-004,,,,not_found,failed to fetch page
P-LY-AA0-001,https://mapafrica.afdb.org/project/P-LY-AA0-001,,,,not_found,failed to fetch page
P-Z1-AA0-137,https://mapafrica.afdb.org/project/P-Z1-AA0-137,,,,not_found,failed to fetch page
P-ML-AA0-025,https://mapafrica.afdb.org/project/P-ML-AA0-025,,,,not_found,failed to fetch page
P-NG-AA0-037,https://mapafrica.afdb.org/project/P-NG-AA0-037,,,,not_found,failed to fetch page
P-Z1-AAF-006,https://mapafrica.afdb.org/project/P-Z1-AAF-006,,,,not_found,failed to fetch page
P-Z1-AAZ-014,https://mapafrica.afdb.org/project/P-Z1-AAZ-014,,,,not_found,failed to fetch page
P-MR-AA0-016,https://mapafrica.afdb.org/project/P-MR-AA0-016,,,,not_found,failed to fetch page
P-TZ-AA0-025,https://mapafrica.afdb.org/project/P-TZ-AA0-025,,,,not_found,failed to fetch page
P-SN-A00-005,https://mapafrica.afdb.org/project/P-SN-A00-005,,,,not_found,failed to fetch page
P-LR-AAD-001,https://mapafrica.afdb.org/project/P-LR-AAD-001,,,,not_found,failed to fetch page
P-Z1-AAZ-023,https://mapafrica.afdb.org/project/P-Z1-AAZ-023,,,,not_found,failed to fetch page
P-Z1-AAZ-017,https://mapafrica.afdb.org/project/P-Z1-AAZ-017,,,,not_found,failed to fetch page
P-MG-AA0-039,https://mapafrica.afdb.org/project/P-MG-AA0-039,,,,not_found,failed to fetch page
P-EG-AAB-009,https://mapafrica.afdb.org/project/P-EG-AAB-009,,,,not_found,failed to fetch page
P-SS-A00-001,https://mapafrica.afdb.org/project/P-SS-A00-001,,,,not_found,failed to fetch page
P-ZA-A00-002,https://mapafrica.afdb.org/project/P-ZA-A00-002,,,,not_found,failed to fetch page
P-GW-A00-003,https://mapafrica.afdb.org/project/P-GW-A00-003,,,,not_found,failed to fetch page
P-Z1-AAZ-019,https://mapafrica.afdb.org/project/P-Z1-AAZ-019,,,,not_found,failed to fetch page
P-ZM-AA0-019,https://mapafrica.afdb.org/project/P-ZM-AA0-019,,,,not_found,failed to fetch page
P-CD-AAD-003,https://mapafrica.afdb.org/project/P-CD-AAD-003,,,,not_found,failed to fetch page
P-AO-AAF-002,https://mapafrica.afdb.org/project/P-AO-AAF-002,,,,not_found,failed to fetch page
P-SZ-AA0-013,https://mapafrica.afdb.org/project/P-SZ-AA0-013,,,,not_found,failed to fetch page
P-SD-AAZ-010,https://mapafrica.afdb.org/project/P-SD-AAZ-010,,,,not_found,failed to fetch page
P-Z1-AAG-004,https://mapafrica.afdb.org/project/P-Z1-AAG-004,,,,not_found,failed to fetch page
P-MU-AA0-008,https://mapafrica.afdb.org/project/P-MU-AA0-008,,,,not_found,failed to fetch page
P-GH-AAZ-001,https://mapafrica.afdb.org/project/P-GH-AAZ-001,,,,not_found,failed to fetch page
P-BJ-AA0-007,https://mapafrica.afdb.org/project/P-BJ-AA0-007,,,,not_found,failed to fetch page
P-MG-A00-017,https://mapafrica.afdb.org/project/P-MG-A00-017,,,,not_found,failed to fetch page
P-ZM-AAZ-006,https://mapafrica.afdb.org/project/P-ZM-AAZ-006,,,,not_found,failed to fetch page
P-NG-A00-010,https://mapafrica.afdb.org/project/P-NG-A00-010,,,,not_found,failed to fetch page
P-MZ-AA0-041,https://mapafrica.afdb.org/project/P-MZ-AA0-041,,,,not_found,failed to fetch page
P-MU-A00-001,https://mapafrica.afdb.org/project/P-MU-A00-001,,,,not_found,failed to fetch page
P-CI-AAF-002,https://mapafrica.afdb.org/project/P-CI-AAF-002,,,,not_found,failed to fetch page
P-Z1-AAG-028,https://mapafrica.afdb.org/project/P-Z1-AAG-028,,,,not_found,failed to fetch page
P-MZ-AA0-031,https://mapafrica.afdb.org/project/P-MZ-AA0-031,,,,not_found,failed to fetch page
P-Z1-AAZ-047,https://mapafrica.afdb.org/project/P-Z1-AAZ-047,,,,not_found,failed to fetch page
P-CI-AA0-023,https://mapafrica.afdb.org/project/P-CI-AA0-023,,,,not_found,failed to fetch page
P-MG-AA0-027,https://mapafrica.afdb.org/project/P-MG-AA0-027,,,,not_found,failed to fetch page
P-Z1-AAZ-037,https://mapafrica.afdb.org/project/P-Z1-AAZ-037,,,,not_found,failed to fetch page
P-BF-AA0-025,https://mapafrica.afdb.org/project/P-BF-AA0-025,,,,not_found,failed to fetch page
P-Z1-AAZ-021,https://mapafrica.afdb.org/project/P-Z1-AAZ-021,,,,not_found,failed to fetch page
P-Z1-AAZ-011,https://mapafrica.afdb.org/project/P-Z1-AAZ-011,,,,not_found,failed to fetch page
P-CI-AAA-006,https://mapafrica.afdb.org/project/P-CI-AAA-006,,,,not_found,failed to fetch page
P-Z1-AAZ-013,https://mapafrica.afdb.org/project/P-Z1-AAZ-013,,,,not_found,failed to fetch page
P-TD-AB0-004,https://mapafrica.afdb.org/project/P-TD-AB0-004,,,,not_found,failed to fetch page
P-GH-A00-006,https://mapafrica.afdb.org/project/P-GH-A00-006,,,,not_found,failed to fetch page
P-MW-A00-014,https://mapafrica.afdb.org/project/P-MW-A00-014,,,,not_found,failed to fetch page
P-Z1-AAZ-055,https://mapafrica.afdb.org/project/P-Z1-AAZ-055,,,,not_found,failed to fetch page
P-BJ-AA0-005,https://mapafrica.afdb.org/project/P-BJ-AA0-005,,,,not_found,failed to fetch page
P-SN-A00-023,https://mapafrica.afdb.org/project/P-SN-A00-023,,,,not_found,failed to fetch page
P-ZW-AA0-018,https://mapafrica.afdb.org/project/P-ZW-AA0-018,,,,not_found,failed to fetch page
P-MZ-AZ0-003,https://mapafrica.afdb.org/project/P-MZ-AZ0-003,,,,not_found,failed to fetch page
P-ER-AAZ-002,https://mapafrica.afdb.org/project/P-ER-AAZ-002,,,,not_found,failed to fetch page
P-Z1-AAZ-039,https://mapafrica.afdb.org/project/P-Z1-AAZ-039,,,,not_found,failed to fetch page
P-Z1-AAZ-033,https://mapafrica.afdb.org/project/P-Z1-AAZ-033,,,,not_found,failed to fetch page
P-SL-AA0-023,https://mapafrica.afdb.org/project/P-SL-AA0-023,,,,not_found,failed to fetch page
P-SN-A00-022,https://mapafrica.afdb.org/project/P-SN-A00-022,,,,not_found,failed to fetch page
P-MW-A00-012,https://mapafrica.afdb.org/project/P-MW-A00-012,,,,not_found,failed to fetch page
P-EG-AAC-028,https://mapafrica.afdb.org/project/P-EG-AAC-028,,,,not_found,failed to fetch page
P-UG-AAZ-002,https://mapafrica.afdb.org/project/P-UG-AAZ-002,,,,not_found,failed to fetch page
P-SD-AAZ-009,https://mapafrica.afdb.org/project/P-SD-AAZ-009,,,,not_found,failed to fetch page
P-MW-AAZ-004,https://mapafrica.afdb.org/project/P-MW-AAZ-004,,,,not_found,failed to fetch page
P-TN-AA0-014,https://mapafrica.afdb.org/project/P-TN-AA0-014,,,,not_found,failed to fetch page
P-ZM-AA0-024,https://mapafrica.afdb.org/project/P-ZM-AA0-024,,,,not_found,failed to fetch page
P-GM-AA0-016,https://mapafrica.afdb.org/project/P-GM-AA0-016,,,,not_found,failed to fetch page
P-RW-AA0-021,https://mapafrica.afdb.org/project/P-RW-AA0-021,,,,not_found,failed to fetch page
P-GH-A00-007,https://mapafrica.afdb.org/project/P-GH-A00-007,,,,not_found,failed to fetch page
P-CI-A00-008,https://mapafrica.afdb.org/project/P-CI-A00-008,,,,not_found,failed to fetch page
P-ZM-AA0-038,https://mapafrica.afdb.org/project/P-ZM-AA0-038,,,,not_found,failed to fetch page
P-ZM-AA0-041,https://mapafrica.afdb.org/project/P-ZM-AA0-041,,,,not_found,failed to fetch page
P-MR-A00-003,https://mapafrica.afdb.org/project/P-MR-A00-003,,,,not_found,failed to fetch page
P-ZA-AA0-001,https://mapafrica.afdb.org/project/P-ZA-AA0-001,,,,not_found,failed to fetch page
P-SZ-AA0-007,https://mapafrica.afdb.org/project/P-SZ-AA0-007,,,,not_found,failed to fetch page
P-BJ-A00-005,https://mapafrica.afdb.org/project/P-BJ-A00-005,,,,not_found,failed to fetch page
P-SD-AAZ-008,https://mapafrica.afdb.org/project/P-SD-AAZ-008,,,,not_found,failed to fetch page
P-Z1-A00-019,https://mapafrica.afdb.org/project/P-Z1-A00-019,,,,not_found,failed to fetch page
P-GA-AAG-003,https://mapafrica.afdb.org/project/P-GA-AAG-003,,,,not_found,failed to fetch page
P-BJ-AAD-004,https://mapafrica.afdb.org/project/P-BJ-AAD-004,,,,not_found,failed to fetch page
P-MA-AAC-016,https://mapafrica.afdb.org/project/P-MA-AAC-016,,,,not_found,failed to fetch page
P-SD-AAZ-006,https://mapafrica.afdb.org/project/P-SD-AAZ-006,,,,not_found,failed to fetch page
P-ZM-AAF-002,https://mapafrica.afdb.org/project/P-ZM-AAF-002,,,,not_found,failed to fetch page
P-SZ-AAC-005,https://mapafrica.afdb.org/project/P-SZ-AAC-005,,,,not_found,failed to fetch page
P-Z1-A00-015,https://mapafrica.afdb.org/project/P-Z1-A00-015,,,,not_found,failed to fetch page
P-Z1-AAZ-035,https://mapafrica.afdb.org/project/P-Z1-AAZ-035,,,,not_found,failed to fetch page
