Identifier,project_url,general_description,objectives,beneficiaries,status,notes
P-BJ-AA0-009,https://mapafrica.afdb.org/en/projects/46002-P-BJ-AA0-009,"Le nord-est du Bénin, en particulier les zones de Malanville et de Karimama, a été frappé au début du mois de septembre 2013 par de graves inondations du fait de la montée du fleuve Niger. Cette montée brusque du fleuve et son débordement sont dûs aux pluies diluviennes intervenues à l’amont, en Guinée, au Mali et au Niger. Les Communes de Malanville et de Karimama, très proches du fleuve, se sont trouvées ainsi envahies par les eaux. Les dégâts causés par cette épisode climatique extrême sont importants : plus de 21.500 hectares de cultures emportées (riz, maïs, sorgho, cultures maraîchères), plus de 750 cases d’habitations détruites, plusieurs centaines de volailles et petits élevages disparus, des filets, nasses et pirogues emportés par les eaux, près de 280 étangs artisanaux submergés. Au total, ce sont près de 9.200 ménages qui ont été affectés par les inondations, soit une population de plus de 35.000 personnes, dont de nombreux vieillards, femmes allaitantes et enfants. Parmi les personnes touchées, on compte également 1.300 jeunes qui ont été installés à Malanville sur une superficie de 1.800 ha qui a été totalement inondée. L’estimation de l’ensemble des dégâts établie par les autorités béninoises est de l’ordre de 10,8 milliards de F.CFA.","L’objectif sectoriel est de contribuer aux efforts du Gouvernement du Bénin et de ses
partenaires pour soulager les souffrances des populations vulnérables des communes de Malanville et de Karimama durement affectées par les inondations de début septembre 2013. L'objectif de 1'opération est d’apporter une aide rapide aux producteurs et éleveurs fragilisés par la perte de leur récolte et/ou de leur cheptel suite aux inondations, dans le cadre de la préparation de la prochaine campagne agricole à venir.","Le Gouvernement Béninois a adressé, en date du 5 octobre 2013, une requête de
financement à la Banque et à d’autres partenaires présents au Bénin pour un programme d’urgence d’assistance aux producteurs des deux communes touchées par les inondations, y compris les 1.300 jeunes faisant l’objet d’un programme d’installation.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-BJ-AA0-009
P-CD-AA0-005,https://mapafrica.afdb.org/en/projects/46002-P-CD-AA0-005,"This emergency humanitarian aid for assistance to displaced populations in the territories of Malemba Nkulu (Katanga province) is a response to the call for assistance from the Congolese authorities to the international community and the African Development Bank in order to provide emergency assistance to internally displaced populations in their own country as a result of the crisis in eastern DRC. The operation should consist of financing the acquisition of food products and their transport, storage and distribution to the intervention area. The delivery of humanitarian goods in the DRC faces significant challenges related to the poor state of logistics infrastructure, the development of all modes of transport is essential, but faces mismanagement and lack of investment of existing infrastructure. The activities envisaged are divided into two components, namely: 1) purchase, transport, storage and distribution of food products (maize flour, pulses, transport and storage costs); and 2) the management of emergency assistance. The total requirement for this project is estimated at approximately USD 2.12 million. The Bank Group's contribution to the financing of the operation is estimated at USD 1,000,000 net of tax.",The objective of this emergency aid operation is to urgently provide food aid rations to internally displaced populations in Malemba Nkulu territory.,"The beneficiaries targeted by the operation are a total of 19,500 including 1,960 children under 5 (590 boys and 1,370 girls), 7,040 children aged 6 to 18 (2,100 boys and 4,940 girls), and 10,500 adults (3,095 men and 7,405 women).",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-CD-AA0-005
P-MG-AAB-005,https://mapafrica.afdb.org/en/projects/46002-P-MG-AAB-005,"The present proposal is part of a solidarity approach and serves to support the efforts of the Government and other technical and financial partners to provide emergency humanitarian assistance to the populations affected by the locust crisis in southwestern Madagascar. This $ 1,000,000 emergency relief operation aims to provide emergency assistance to 60,000 particularly vulnerable people (12,000 households) and provide treatment for 65,000 ha. The Bank's proposed assistance is for emergency support to ensure agricultural production for the most vulnerable households. This intervention consists mainly of: (i) the acquisition of 10,000 liters of growth disrupting pesticides and the rental of helicopters for 50 hours of flight to treat 65,000 ha; (ii) the immediate provision of 25 tonnes of rice seed, 45 tonnes of cowpea seed, 12.5 tonnes of lentil seeds, 7.5 tonnes of maize seed, 8 tonnes of groundnut seeds, 300,000 cassava cuttings, 1.5 tons of cajanu seeds and 1.5 tons of mucuna seeds and phytosanitary products.",The objective of the emergency humanitarian assistance proposed by the Bank is to contribute to the Government's action to control the locust invasion at the country level and contribute to food security.,"The project targets 12,000 vulnerable farm households (60,000 people) affected by the crop loss in the Southwest and Southern region of Madagascar.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MG-AAB-005
P-CD-AAD-002,https://mapafrica.afdb.org/en/projects/46002-P-CD-AAD-002,"Key challenges are linked to the overall weak level of institutional and technical capacity in DRC and to governance challenges in the forest sector (and other land use-related sectors), in addition to the need for inter-sectoral coordination which is an inherently complex goal to achieve, and to limited private sector interest in REDD-related activities in the country. The REDD+ process ingeneral requires substantial capacity at all levels due to its technical and institutional complexities. These needs are being addressed by the FCPF and UN-REDD support to REDD Readiness, and various other initiatives such as the World Bank Forest and Nature Conservation Project. Some of the governance challenges are being directly addressed by the FIP, such as contributing to the process of land tenure clarification in target intervention areas and supporting communities for managing forests. Inter-sectoral coordination should be ensured through the National Inter-ministerial Committee, but will require higher-level political support to this body. Finally, private sector engagement is being explicitly targeted by the FIP Investment Plan, which includes a number of activities aimed at removing some of the key barriers preventing private investment in REDD-related sectors.","The Investment Plan proposes to: i) to concentrate investments on deforestation ""hot spots"", located in the supply area of large urban centers; (ii) to focus on investments that address the direct causes of deforestation and that generate measurable emissions reductions and co-benefits; and (iii) to improve enabling conditions to address some of the underlying causes of deforestation (at the national level, to support medium-term transformation, and at the local level, to support innovative experiments aimed at tackling the underlying causes of deforestation, such as land tenure insecurity and an inconducive business environment for private sector engagement).",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-CD-AAD-002
P-SL-AA0-007,https://mapafrica.afdb.org/en/projects/46002-P-SL-AA0-007,"The proposed project is a priority, which is consistent with the development objectives of Government of Sierra Leone and is expected to contribute to the sustainable management of the resource base and substantially increase food production and farm incomes, which in the long-run would contribute to poverty reduction and enhanced food security. The Agricultural Sector Rehabilitation Programme in which various donors can participate provides a policy and financing framework for rehabilitation of the devastated agriculture and rural development caused by the prolonged civil war. IFAD has already appraised its project Rehabilitation and Community-based Poverty Reduction Project (RCPRP). The project has three components, namely: (A) Agricultural Production; (B) Capacity Building; and (C) Project Management and Coordination. The outputs under each of these components are summarised as follows: 1) Crop production increased; 2) Improved seed production supported 3) Capacity of Ministry of Agriculture, Forestry and Food Security (MAFFS) to support, monitor and evaluate project activities enhanced; 4) Ministry of Agriculture, Forestry and Food Security (MAFFS) staff and beneficiaries trained and 5) Social and rural infrastructure improved and maintained.",The sector goal is to reduce poverty and enhance food security. The project objective is to increase agricultural production and improve farmers’ income.,"The primary beneficiaries of the project are smallholder farmers in these districts, already organized or to be organized into viable Farmer Groups. Direct beneficiaries of the project are 20,000 farm families (roughly 140,000 people). They will also benefit from the rehabilitation of markets and practical field training. Finally, a number of private entrepreneurs will also benefit from the project, insofar as they will be involved in input supply, marketing, transport and processing services for agricultural products, the scope of which will have been extended.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SL-AA0-007
P-ZM-AAE-002,https://mapafrica.afdb.org/en/projects/46002-P-ZM-AAE-002,,"The overall sector goal is to contribute to economic growth and food security. The specific LISP objectives are to improve smallholder livestock production, productivity, market linkages and income of livestock farmers.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ZM-AAE-002
P-Z1-AAG-057,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAG-057,"Up to USD 65 million participation in the Sustainability Linked Loan (“SLL”) Facility of the ETC Group Limited (“ETG” or the “Group”), Mauritius for its core value chain financing: to support its integrated value chain and strengthen the small holder farmers ecosystem in Africa. ETG is raising up to USD 550 million to finance its core value chain under the two tranches –Development Finance Institutions (“DFI”) term tranche and commercial revolving credit facility.  ETG is currently reaching 4 million smallholder farmers active in 48 countries worldwide, trading in excess of 80 commodities. The Group is purchasing crops from farmers as close to farmgate as feasible, aggregating and transporting to port warehouses and selling cargo to end-buyer across the world, after processing and value addition. At the same time, ETG purchases and imports fertilizers and agro-inputs from across the world for distribution to dealers and farmers in Africa. The Group’s value chain backed up by its own hub-and-spoke logistics network requires funding to be renewed every season, permanent in nature. The Bank’s financing will be deployed to ETG’s core value chains in Africa (including Benin, Ghana, Ivory Coast, Senegal, Nigeria, Burkina Faso, Ethiopia, Kenya, Tanzania, Uganda, Malawi, Mozambique, Zimbabwe, Zambia) to support the processing and packaging facilities, warehouses and depots and provide fertilizers and agri-inputs under the DFI term tranche. There is a possibility that the Bank’s financing will be deployed beyond the countries abovementioned up to 28 countries in Africa based on the emerging needs. The project contributes to climate finance, with 37.5 million USD of the total approved amount dedicated to mitigation.","The main development outcomes stem from: (i) contribution to food security by increasing agricultural production and enhancing logistical capacity to strengthen distribution mechanisms; (ii) contribution to food import substitution by processing and packaging agricultural products locally while increasing value addition of export-oriented products, which decrease the current account deficit in African countries (iii) job creation for men, youth and women throughout various agriculture commodity value-chains;(iv) fiscal contribution to RMCs through import/export duties, corporate tax, value-added tax; and (v) explicit support for women enterprises to enhance their business management skills and promote inclusive growth in the agriculture and food sectors where a large number of women can be employed.","Based on the sustainability KPIs and annual targets, it is expected that 600,000 supply chain farmers (1 million by 2032) would receive extension services by 2027, 25% will be women farmers by 2027 (50% by 2030). Additional gender-oriented support services will be provided to 9,000 women farmers (by 2027) and 25,000 by 2030. The ETG project has demonstrated significant growth in job creation, with full-time positions expected to increase from 2,949 in 2024 to 5,474 by 2031, reflecting a substantial impact on employment in target countries. Notably, the proportion of full-time jobs held by women is projected to rise from 17.5% in 2024 to 30% by 2031, highlighting a positive trend towards gender inclusivity in the workforce. Simultaneously, the total number of farmers participating in the supply chain is projected to grow from 186,681 in 2024 to 188,224 in 2031, with the majority being smallholder farmers.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAG-057
P-Z1-AA0-095,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-095,"The project is fully in keeping with the poverty reduction strategies of the four CI countries and is based on the WTO Decision and the WAEMU Competitiveness Improvement Agenda aimed at protecting and raising the incomes of cotton farmers. It will help to protect the incomes of more than 900,000 farmers and benefit a population of close to 10 million persons in the four countries, of which more than half are women. The project which will run for 5 years targets the cotton-growing regions of Benin, Burkina Faso, Mali and Chad. It aims at boosting production through: (i) intensive cotton farming by promoting the use of improved inputs (organic fertilizer, improved seeds, etc.) and good farming practices, (ii) research, (iii) greater access to credits, and (iv) capacitybuilding for sector stakeholders. The main components of the project are: (i) improvement of output and productivity; (ii) support to marketing and artisanal processing; and (iv) project management.",The sector goal of the project is to contribute to rural poverty reduction. Its specific objective is to contribute to protecting and raising the incomes of cotton sector stakeholders by ensuring a sustainable increase in cotton sector productivity.,"The direct beneficiaries of the project shall be cotton seed producers, artisans, women and the youth who make up the vulnerable groups. These producers are farmers whose cotton-farming conditions have so deteriorated over time that they have to sell their food crop surpluses to pay for education, healthcare and household needs. In Mali, the number of cotton farms is estimated at close to 180,000 and the population that depends on cotton for its livelihood has grown in 12 years from 1.1 million to 3 million.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-095
P-MW-AAC-001,https://mapafrica.afdb.org/en/projects/46002-P-MW-AAC-001,"The proposed project targets smallholder food producers with the aim of improving food security and reducing poverty for the participating households, as well as for the communities residing adjacent to the schemes. The development of irrigation infrastructure will also contribute towards a reduction in the dependence on food imports which has been a drain on foreign currency reserves, posing a significant threat to the ongoing economic reform program of the GoM. Reliable irrigation water supply will also enable the poorer farmers to cultivate high value crops. The project meets the government objective of improving the productivity of smallholder agriculture. The project will also contribute significantly to achieving the Millennium Development Goals of (i) halving the proportion of people living in extreme poverty by 2015, and (ii) promoting gender equality and empowerment of women through their involvement in project activities. The project will be implemented over a period of 6 years.","The overall sector goal of the project is to contribute to poverty reduction and food security in rural Malawi. The specific objective of the project is to increase productivity and income of rural households in the project area. This will be achieved through the promotion of intensification and diversification of the existing cropping system and improvement of the marketing system which will significantly increase production, productivity and incomes of the small farmer whilst improving household nutrition and environmental management of natural resources at the same time.","The estimated total number of beneficiary households is 8756, or a total of 45,531 people. The project beneficiaries are all the farmers owning plots in the vicinity of the 39 proposed irrigation schemes who had expressed their interest to fully participate in the project. The average family size is between 4.3-5.0 persons. The majority of the beneficiaries comprise of households that are food secure for between 2-5 months and 5-8 months (48% and 40% respectively).Women are estimated to comprise about 60% of the beneficiaries.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MW-AAC-001
P-SN-AAC-003,https://mapafrica.afdb.org/en/projects/46002-P-SN-AAC-003,"The proposed operation consists of additional financing of UA 8.4 million to the Government of the Republic of Senegal to enable the Small Local Irrigation Support Project (PAPIL) to reach and to exceed its initial objectives. PAPIL aims primarily at participatory planning to develop land from small runoff management works to ensure food security. After more than four years of implementation, PAPIL has achieved much appreciated results in the mobilization of water resources and regeneration of the natural environment, and has raised many hopes among the populations confronted with the acuity of the problems related to climate change. Unfortunately, the financial resources of the project, in particular because of the increase in raw material prices, the average fall of the CU, and technical options, which were revised upwards during the participatory process, proved to be insufficient to allow intervention on all planned sites. The additional loan will allow the project to cope with the financing gap, and thus be able to realize all the infrastructures and facilities already identified and studied. It will amplify the actions of salt control, will continue the actions undertaken in terms of reforestation and protection of CES / DRS, will lead with the populations of new activities relating to the regeneration of mangroves and the protection of the island environments, intensify the dissemination of cultural techniques adapted to new climate and soil constraints, develop the reflection on the occurrence of exceptional rainfall phenomena and its consideration in the design of water retention structures, etc. This operation will cover a period of 3 years (2011-2013) and will affect the same initial geographical area (4 regions): Fatick, Kolda, Tambacounda and Kédougou.","The PAPIL target under the supplementary funding will be reworded as follows: ""The sector goal of the project is to contribute to the reduction of poverty and rural food security by promoting water control infrastructures and climate change adaptation measures "".","PAPIL's direct targets, distributed in the regions of Fatick, Tambacounda, Kédougou and Kolda: - 12,000 farms - about 96,000 farmers including 44,000 men and 52,000 women. In general, the beneficiaries are mainly rural populations, farmers, women, young people, groups, associations, rural economic operators, decentralized structures, rural councils, etc.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SN-AAC-003
